time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.3161048993900165e-08,1.6125817123653661e-06,10.006949784872276,0.0009237605638645618,1.4113967930384774e-05,0.0,-1.3011518470049613e-06,0.0001227208579154323,0.2316404962925573,0.035616620132047486,0.000701640427870101,0.0,477.5245250218784,477.5780297350458,474.77142907520823,477.49575473016705
0.12000000000000001,-1.1285768675211194e-06,3.172915757103077e-05,10.020462308014704,0.0027193895619586073,0.0006645976811476828,0.0,-6.991184236123124e-05,0.0010519024502838807,0.21877936640095133,0.015012965024327625,0.025850457282207796,0.0,398.21558151676913,400.50901620996234,400.67737988574436,398.8005396793117
0.18,-2.6952776694369155e-05,0.00015851494784702567,10.037959173612627,0.0037203211450833606,0.00272146644685467,0.0,-0.000991249502785445,0.0032778197057974686,0.36441302869589753,0.019827322858713452,0.04730414227978298,0.0,449.94330218038715,451.6769695693243,451.42776499756684,451.8159254321764
0.23999999999999996,-0.0001549859046108251,0.00043884197647557193,10.063308899737885,0.005218711200829951,0.005343075672766595,0.0,-0.0035626426927615963,0.006208218421053383,0.48053390906998283,0.03366745108229991,0.035267121240195605,0.0,442.80557755014354,441.8154863350878,441.4133537781185,442.5539287222158
0.3,-0.0004870499456883408,0.0009269481310990472,10.095091013652988,0.007565059180783429,0.007587781148271411,0.0,-0.007728084270874423,0.010285667223558486,0.5788219797405567,0.04821617224613037,0.04138785100710224,0.0,436.12384466609967,436.63537960588866,436.2586779455362,437.47236696517604
0.36000000000000004,-0.0011590819468514377,0.0017523499024969943,10.137877067044654,0.010108066462615639,0.010870284560266619,0.0,-0.015048231241957291,0.01757619126391222,0.8472134587540658,0.026954753465716644,0.07300920893820606,0.0,487.5271641669111,489.88533007948126,487.71033382160823,486.12074124856997
0.4200000000000001,-0.0023140735685820858,0.0030318432590504345,10.192639136481088,0.011231650465677312,0.015038951693405522,0.0,-0.023907092830789806,0.025229203091422365,0.9780781730892197,-0.007788252416783489,0.06127077984746645,0.0,447.44098329145146,446.48804849622877,449.1666375973856,446.3405007806736
0.48000000000000015,-0.004021751867407939,0.004739198075306366,10.251043111089944,0.010620390374363353,0.018297401966236748,0.0,-0.03331842093715529,0.03163675463265754,0.96872440949465,-0.015479418782505042,0.03434705697981296,0.0,402.37979524854734,399.9374674212348,402.66400640466617,401.96781587765116
0.5400000000000001,-0.006364179756201656,0.006829327347606919,10.309885858604494,0.0094244052257908,0.02033098006484657,0.0,-0.04494798277723956,0.03793926630494204,0.9926770324897287,-0.030793878794071528,0.03296916632103985,0.0,413.94612669967916,413.8254311496779,412.9579611624961,411.6049859500739
0.6000000000000002,-0.009457256538735357,0.009279555617599041,10.370930185403783,0.0076446263460194785,0.022082881976332125,0.0,-0.0583313109420915,0.043563150598276125,1.0420873159226582,-0.027492404373266454,0.02032611950613937,0.0,421.85117544638877,420.7584624023651,421.77539256723804,422.0600700717284
0.6600000000000003,-0.01342732865907511,0.012048127365979763,10.43686251043726,0.006221375472915014,0.0234234038778105,0.0,-0.07413559303545425,0.04856282915028916,1.1555463899430327,-0.017081760265085514,0.026096015186082545,0.0,440.831199387542,441.30769424975364,443.13181985296137,443.98659988476527
0.7200000000000003,-0.018295698479976016,0.015068909019030723,10.506244608265186,0.005499652942781985,0.024515944815142632,0.0,-0.08826748792630404,0.0520547702408769,1.1571856099622424,-0.0034674196533933423,-0.0063212217940297796,0.0,407.4016795775524,404.4931144752796,405.3026472058622,406.524360628259
0.7800000000000004,-0.024095178555603666,0.018304601694031215,10.578603684653697,0.0053728099416821,0.023843048143013412,0.0,-0.1049954118541508,0.05578414667783869,1.2546821694335097,0.00046407281237675056,-0.023446036029026916,0.0,438.4590481222983,437.0342698592692,437.1441940379461,437.47168686275273
0.8400000000000004,-0.03103329282509588,0.021796879656835074,10.663271705459403,0.0051903956968955,0.022609718202128093,0.0,-0.1260912891447557,0.06061425749417437,1.567213959194799,-0.011179099650425066,-0.015324535464742859,0.0,501.15854492533657,501.74850741110583,501.8002210317767,500.95445593948
0.9000000000000005,-0.03919549121993911,0.025568162870481893,10.766219041165096,0.004415908037048055,0.02167248163409763,0.0,-0.1458510830011512,0.06499849396476562,1.8639311892108266,-0.01661210818725752,-0.016219407952501198,0.0,498.2898598551525,498.2245693491532,497.5147321892855,497.1169538862855
0.9600000000000005,-0.04847484955845817,0.029572290458580838,10.884941597482603,0.0037858718192680385,0.02088065838839004,0.0,-0.16334693757227267,0.06837481057302326,2.0930986340718625,-0.0004534645907686473,-0.007750198795041427,0.0,478.19792012850615,478.8427081894414,479.75186562464563,480.97722888853616
1.0200000000000005,-0.05875416594633678,0.03376138712426791,11.015842369048132,0.0035097988700831806,0.020527947057703777,0.0,-0.17924455718528476,0.07124511773455433,2.2699266156490894,-0.014554081224092763,-0.002375724773453652,0.0,464.3941124871479,464.8155689954731,465.5919416514003,464.4875698019901
1.0800000000000005,-0.07000673249047641,0.03811700900736342,11.158618577840604,0.002530934206731672,0.02052621050210135,0.0,-0.19582422917499712,0.07383024884003951,2.488829874544496,-0.020090307301182858,0.0042942712835659985,0.0,477.26537683351773,477.77416622829537,478.58117858828626,478.1597342351388
1.1400000000000006,-0.08221369933758362,0.04259781959770982,11.312485786898065,0.0009757101684568781,0.020476266661273,0.0,-0.21108281336911497,0.07538216843047445,2.639740264926243,-0.04134218450396904,-0.01382131619118536,0.0,459.45093316802405,458.01248125973046,459.41520332852105,457.7269119479823
